name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,easting,northing,longitude,latitude,runtime
The Sound Lounge,,www.thesoundlounge.org.uk,,,,,216-220 High Street,,,525803.8969182,164601.3355139941,-0.1926506700931572,51.36602486975543,11/27/2022
Under the Bridge,,www.underthebridge.co.uk,,,,,Fulham Road,,,525781.5875054002,177448.3124928996,-0.18840977026257302,51.48150019293787,11/27/2022
Leytonstone Ex-Servicemens Club,Waltham Forest,www.leytonstonesocial.club,100000000000,E09000031,Leytonstone,E05000605,2 Harvey Road,Waltham Forest,,539521.000122197,187306.00012149662,0.013254243839670863,51.56686787287454,11/27/2022
Thousand Island,Islington,www.thegarage.london/listings/#=.thousand-island,0,E09000019,Highbury East,E05000372,20-22 Highbury Corner Highbury East,,,531565.000122197,184798.00012159348,-0.10241761004299621,51.546240033794874,11/27/2022
Plough,Ealing,www.ploughinnnorwoodgreen.co.uk,12126106,E09000009,Norwood Green,E05000186,Tentelow Lane Ealing,,,513522.0001221001,178570.00012169778,-0.3645382256134785,51.494176963496706,11/27/2022
Rumpus Room,Southwark,,10091666184,E09000028,Borough & Bankside,E05011095,20 Upper Ground,Southwark,,531472.000122197,180533.00012159348,-0.1053503689668218,51.50792985311685,11/27/2022
Claret Wine Bar,Sutton,,5870019859,E09000029,Cheam,E05000560,33 The Broadway,Sutton,,524246.000122197,163697.00012159348,-0.21533634160787932,51.35823940402489,11/27/2022
Revolution,Sutton,,5870030304,E09000029,Sutton West,E05000567,42795 High Street,Sutton,,526005.000122197,163822.00012159348,-0.19003930106079725,51.3589754365327,11/27/2022
Wallington Arms,Sutton,www.wallingtonarms.com,5870077343,E09000029,Wallington South,E05000570,6 Woodcote Road,Sutton,,528889.000122197,163959.00012159348,-0.14858626595637497,51.35955967045487,11/27/2022
Earl Of Eldon,Croydon,,100000000000,E09000008,South Croydon,E05011484,63 Brighton Road,Croydon,,532555.000122197,163991.00012159348,-0.09594522821591386,51.35900353733978,11/27/2022
Bounce,Sutton,,5870122285,E09000029,Sutton Central,E05000564,57 High Street,Sutton,,525941.000122197,164050.00012159348,-0.19087736192209873,51.36103894895378,11/27/2022
New Inn,Sutton,,5870048302,E09000029,Sutton Central,E05000564,16-18 Myrtle Road,Sutton,,526307.000122197,164404.00012159348,-0.18549689050153836,51.36413949421267,11/27/2022
The Coach & Horses,Sutton,,5870077971,E09000029,Carshalton Central,E05000558,10 High Street,Sutton,,528025.000122197,164478.00012159348,-0.1608033340102286,51.36441989640947,11/27/2022
Race Horse,Sutton,www.theracehorsepub.co.uk,5870063158,E09000029,Carshalton Central,E05000558,17 West Street,Sutton,,527672.000122197,164620.00012159348,-0.16582070727709625,51.36577568061749,11/27/2022
The Boom Boom Club,Sutton,www.feenstra.co.uk/boomboom,0,E09000029,Sutton West,E05000567,Sutton United Football Club The Borough Sports Ground,Gander Green Ln,Sutton,525095.000122197,164702.00012159348,-0.20279414144266522,51.36708628644587,11/27/2022
Scream Lounge,Croydon,,100000000000,E09000008,Fairfield,E05011468,20 South End,Croydon,,532411.000122197,164775.00012159348,-0.09772046727812453,51.36608352795992,11/27/2022
Olde Whyte Lyon,Bromley,www.yeoldewhytelyon.co.uk,10013149027,E09000006,Farnborough And Crofton,E05000118,Farnborough Common Orpington,,,543154.0001222938,164913.00012149662,0.05657138470073329,51.36471716035939,11/27/2022
The Railway Tavern,Sutton,www.railwaytaverncarshalton.co.uk,5870062829,E09000029,The Wrythe,E05000568,47 North Street,Sutton,,527771.000122197,164953.00012159348,-0.16427951461237883,51.36874644754404,11/27/2022
Royal Standard,Croydon,www.royalstandardcroydon.co.uk,100000000000,E09000008,Fairfield,E05011468,1 Sheldon Street,Croydon,,532242.000122197,165139.00012159348,-0.10001153299102929,51.369394456113554,11/27/2022
